Site_Names	Cell_Count	Dissolved_O2	Water_Temp	Specific_Conductance Lat
HOPB	54.3587963	11.48826087	8.985416667	110.3 42.471941
LEWI	65.99758454	11.37727273	10.81956522	607.7826087 39.095637
POSE	97.74154589	11.77772727	10.64545455	116.9695652 38.89431
BARC	216.3944444	8.690909091	22.19166667	32.71666667 29.675982
FLNT	586.845679	8.2075	21.59166667	135.8 31.185424
SUGG	239.2777778	6.930769231	21.75	68.31428571 29.68778
CUPE	17.73611111	7.798636364	22.575	290.15 18.11352
GUIL	62.87962963	7.608181818	20.64583333	222.5541667 18.17406
CRAM	311.6666667	3.813333333	4.65	14.75 46.209675
LIRO	387	7.557272727	10.90909091	10.4 45.998269
KING	96.22777778	6.29952381	12.90454545	579.5272727 39.105061
MCDI	114.9861111	7.102631579	13.34736842	533.0105263 38.945861
LECO	14.82125604	9.985	12.16521739	19.19565217 35.690428
WALK	18.33574879	9.44	13.25869565	190.433913 35.957378
BLWA	323.6759259	8.876923077	21.35384615	197.0461538 32.541529
MAYF	116.6944444	9.142	16.01666667	14.1125 32.960365
TOMB	846.8287037	8.946153846	21.00769231	157.2461538 31.853431
PRLA	2720.046296	9.85	8.930769231	1335 47.15909
PRPO	1499.069444	12.00416667	8.166666667	4306.833333 47.129839
ARIK	576.2623457	6.869047619	11.74545455	558.2727273 39.758206
BLUE	211.6717172	9.283181818	18.55909091	546.45 34.444218
PRIN	690.3459596	6.907272727	17.21363636	677.0890909 33.378517
BLDE	51.60802469	10.945625	3.571111111	105.8183333 44.95011
COMO	43.8467366	9.385454545	2.413043478	27.20869565 40.034962
WLOU	48.71014493	9.498636364	2.269565217	91.20434783 39.891366
SYCA	144.8298611	5.118235294	20.74705882	543.3294118 33.750993
REDB	25.05864198	10.6795	6.06	645.8842105 40.783934
MART	18.66908213	10.81409091	9.065652174	37.52545455 45.790835
MCRA	12.63888889	10.79944444	6.705263158	23.87368421 44.259598
BIGC	27.48055556	9.157142857	10.56190476	220.6238095 37.059719
TECR	32.06481481	9.371764706	6.570588235	36 36.955931
OKSR	50.73737374	11.42	5.136363636	43.10909091 68.669753
TOOK	81.7654321	10.90307692	3.392307692	106.0153846 68.630692
CARI	126.5026455	14.12105263	1.64	75.14 65.153224
